GPS_POINTER_RADIOFARI;3
esportato_utc;id_dispositivo;nome_dispositivo
;;
id;nome;latitudine;longitudine;quota_terreno_m;altezza_palo_m;fonte_quota;accuratezza_orizzontale_m;accuratezza_verticale_m
CROCE-PALE-001;Croce di Pale;42.98856076;12.77869552;885.0;0.0;Open-Meteo / Copernicus DEM GLO-90 (90 m);;
MONTE-SUBASIO;Monte Subasio;43.057259;12.671109;;0.0;;;
MONTE-PENNINO;Monte Pennino;43.101284;12.88863;;0.0;;;
MONTE-SERANO;Monte Serano;42.866153;12.79951;;0.0;;;
MONTE-BRUNETTE;Monte Brunette;42.88666;12.80478;1399.0;0.0;Open-Meteo / Copernicus DEM GLO-90 (90 m);;
MONTE-TOLAGNA;Monte Tolagna;42.99182;12.94941;1400.0;0.0;Open-Meteo / Copernicus DEM GLO-90 (90 m);;
MONTE-MAGGIORE;Monte Maggiore;42.826829;12.862678;1401.0;0.0;Open-Meteo / Copernicus DEM GLO-90 (90 m);;
MONTE-DI-TEST;Monte di Test;43.01892605;12.79690017;665.0;10.0;Open-Meteo / Copernicus DEM GLO-90 (90 m);;
CIMA-DEL-REDENTORE;Cima del Redentore;42.825424;13.25505;;0.0;;;
CIMA-DEL-LAGO;Cima del Lago;42.818063;13.258773;;0.0;;;
SCOGLIO-DELL-AQUILA;Scoglio dell'Aquila;42.819476;13.256251;2367.0;0.0;Open-Meteo / Copernicus DEM GLO-90 (90 m);;
PUNTA-DI-PRATO-PULITO;Punta di Prato Pulito;42.816264;13.261689;;0.0;;;
CIMA-DELL-OSSERVATORIO;Cima dell'Osservatorio;42.83092;13.25329;;0.0;;;
QUARTO-SAN-LORENZO;Quarto San Lorenzo;42.837564;13.249683;2203.0;0.0;Open-Meteo / Copernicus DEM GLO-90 (90 m);;
MONTE-ARGENTELLA;Monte Argentella;42.858616;13.243366;;0.0;;;
MONTE-COSCERNO;Monte Coscerno;42.717239;12.885368;;0.0;;;
MONTE-ASPRA;Monte Aspra;42.634199;12.894917;;0.0;;;
MONTE-LA-PELOSA;Monte la Pelosa;42.579024;12.89338;1628.0;0.0;Open-Meteo / Copernicus DEM GLO-90 (90 m);;
MONTE-CUCCO;Monte Cucco;43.368083;12.74545;;0.0;;;
MONTE-PENNA;Monte Penna;43.211645;12.821626;1396.0;0.0;Open-Meteo / Copernicus DEM GLO-90 (90 m);;
MONTE-FIONCHI;Monte Fionchi;42.674224;12.772098;;0.0;;;
MONTE-TORRE-MAGGIORE;Monte Torre Maggiore;42.628319;12.602366;1105.0;0.0;Open-Meteo / Copernicus DEM GLO-90 (90 m);;
MONTE-FAVALTO;Monte Favalto;43.403513;12.039554;1060.0;0.0;Open-Meteo / Copernicus DEM GLO-90 (90 m);;
MONTE-CROCE-DI-SERRA;Monte Croce di Serra;42.659723;12.322895;979.0;0.0;Open-Meteo / Copernicus DEM GLO-90 (90 m);;
MONTE-TEZIO;Monte Tezio;43.197386;12.353105;;0.0;;;
MONTE-ACUTO-UMBERTIDE;Monte Acuto (Umbertide);43.265085;12.306619;;0.0;;;
MONTE-ACUTO-SPOLETO;Monte Acuto (Spoleto);42.67922;12.70135;;0.0;;;
MONTARALE;Montarale;42.944696;12.118233;842.0;0.0;Open-Meteo / Copernicus DEM GLO-90 (90 m);;
MONTE-PEGLIA;Monte Peglia;42.818153;12.209515;;0.0;;;
MONTE-MALBE;Monte Malbe - cima;43.1252;12.3089;;0.0;;;
PERUGIA-COLLE;Perugia - centro storico;43.11222;12.38889;488.0;0.0;Open-Meteo / Copernicus DEM GLO-90 (90 m);;
CORCIANO;Corciano;43.133;12.283;362.0;0.0;Open-Meteo / Copernicus DEM GLO-90 (90 m);;
BETTONA;Bettona;43.013572;12.484562;348.0;0.0;Open-Meteo / Copernicus DEM GLO-90 (90 m);;
PANICALE;Panicale;43.029406;12.100035;402.0;0.0;Open-Meteo / Copernicus DEM GLO-90 (90 m);;
